relseconds,data
24.479,-0.8968505859375
24.755,-0.79974365234375
25.063,-0.77801513671875
25.365,-0.77801513671875
25.666,-0.700439453125
25.968,-0.700439453125
26.269,-0.700439453125
26.57,-0.700439453125
26.871,-0.700439453125
27.178,-0.700439453125
27.48,-0.700439453125
27.781,-0.700439453125
28.082,-0.76715087890625
28.384,-0.6378173828125
28.695,-0.66375732421875
29.005,-0.66375732421875
29.428,-0.66375732421875
29.73,-0.66375732421875
30.031,-0.73248291015625
30.333,-0.80828857421875
30.661,-0.80316162109375
30.962,-0.80316162109375
31.263,-0.80316162109375
31.57,-0.80316162109375
31.872,-0.80316162109375
32.173,-0.80316162109375
32.474,-0.80316162109375
32.775,-0.80316162109375
33.076,-0.84423828125
33.378,-0.7900390625
33.685,-0.87982177734375
33.987,-0.87982177734375
34.288,-0.8720703125
34.59,-0.96075439453125
34.913,-0.79046630859375
35.187,-0.92059326171875
35.489,-1.001708984375
35.797,-1.046875
36.099,-1.046875
36.4,-1.046875
36.701,-1.046875
37.002,-1.046875
37.303,-1.046875
37.604,-1.046875
37.911,-1.046875
38.213,-1.046875
38.514,-0.85284423828125
38.825,-0.89434814453125
39.135,-0.89434814453125
39.445,-0.89434814453125
39.755,-0.89434814453125
40.063,-0.89434814453125
40.364,-0.89434814453125
40.665,-0.83447265625
40.967,-0.869873046875
41.269,-0.869873046875
41.57,-0.869873046875
41.871,-0.869873046875
42.178,-0.869873046875
42.48,-0.869873046875
42.781,-0.869873046875
43.082,-0.869873046875
43.415,-0.53033447265625
43.691,-0.64434814453125
43.993,-0.622314453125
44.301,-0.65057373046875
44.603,-0.65057373046875
44.904,-0.69940185546875
45.206,-0.7392578125
45.508,-0.6678466796875
45.81,-0.73004150390625
46.112,-0.69818115234375
46.42,-0.69818115234375
46.721,-0.69818115234375
47.022,-0.69818115234375
47.323,-0.69818115234375
47.624,-0.69818115234375
47.925,-0.69818115234375
48.226,-0.7740478515625
48.534,-0.72161865234375
48.844,-0.72161865234375
49.154,-0.72161865234375
49.464,-0.72161865234375
49.774,-0.72161865234375
50.075,-0.72161865234375
50.376,-0.72161865234375
50.706,-0.8221435546875
51.008,-0.8221435546875
51.309,-0.8221435546875
51.61,-0.8221435546875
51.911,-0.8221435546875
52.212,-0.8221435546875
52.513,-0.8221435546875
52.82,-0.8221435546875
53.122,-0.8221435546875
53.423,-0.8177490234375
53.725,-0.8443603515625
54.027,-0.857177734375
54.329,-0.892333984375
54.631,-0.9573974609375
54.958,-0.8836669921875
55.26,-0.8836669921875
55.561,-0.706298828125
55.863,-0.72186279296875
56.165,-0.70562744140625
56.467,-0.70562744140625
56.768,-0.70562744140625
57.075,-0.70562744140625
57.377,-0.70562744140625
57.678,-0.70562744140625
57.979,-0.70562744140625
58.28,-0.70562744140625
58.581,-0.74969482421875
58.892,-0.74969482421875
59.315,-0.74969482421875
59.626,-0.74969482421875
59.927,-0.74969482421875
60.228,-0.82025146484375
60.53,-0.7750244140625
60.856,-0.80364990234375
61.132,-0.84381103515625
61.44,-0.84381103515625
61.742,-0.84381103515625
62.043,-0.84381103515625
62.344,-0.84381103515625
62.645,-0.84381103515625
62.946,-0.84381103515625
63.247,-0.84381103515625
63.554,-0.862060546875
63.856,-0.862060546875
64.157,-1.01251220703125
64.459,-1.10601806640625
64.761,-1.0048828125
65.063,-0.9429931640625
65.384,-0.994384765625
65.666,-0.9246826171875
65.968,-0.9246826171875
66.269,-0.948974609375
66.571,-0.948974609375
66.872,-0.948974609375
67.173,-0.948974609375
67.474,-0.948974609375
67.781,-0.948974609375
68.083,-0.948974609375
68.384,-0.948974609375
68.685,-0.8680419921875
68.996,-0.78173828125
69.306,-0.78173828125
69.616,-0.78173828125
70.039,-0.78173828125
70.34,-0.78173828125
70.641,-0.9005126953125
70.943,-0.9095458984375
71.245,-0.8505859375
71.547,-0.92169189453125
71.849,-0.92169189453125
72.156,-0.92169189453125
72.458,-0.92169189453125
72.759,-0.92169189453125
73.06,-0.92169189453125
73.361,-0.92169189453125
73.662,-0.90789794921875
73.964,-0.93072509765625
74.272,-0.78387451171875
74.574,-0.78387451171875
74.875,-0.90509033203125
75.177,-0.8480224609375
75.479,-0.86712646484375
75.781,-0.925537109375
76.083,-0.925537109375
