relseconds,x,y,z
24.479,-0.07180534303188324,0.029022356495261192,0.16681623458862305
24.755,-0.044760216027498245,-0.08988316357135773,0.03477749228477478
25.063,0.009389716200530529,0.15819399058818817,0.03112194500863552
25.365,0.009389716200530529,0.15819399058818817,0.03112194500863552
25.666,0.016752902418375015,0.06856466829776764,0.1151263415813446
25.968,0.016752902418375015,0.06856466829776764,0.1151263415813446
26.269,0.016752902418375015,0.06856466829776764,0.1151263415813446
26.57,0.016752902418375015,0.06856466829776764,0.1151263415813446
26.871,0.016752902418375015,0.06856466829776764,0.1151263415813446
27.178,0.016752902418375015,0.06856466829776764,0.1151263415813446
27.48,0.016752902418375015,0.06856466829776764,0.1151263415813446
27.781,0.016752902418375015,0.06856466829776764,0.1151263415813446
28.082,-0.016974344849586487,0.13891369104385376,0.03891788423061371
28.384,0.10093711316585541,0.2144308090209961,0.2920195460319519
28.695,-0.015637055039405823,0.04032333195209503,0.18857625126838684
29.005,-0.015637055039405823,0.04032333195209503,0.18857625126838684
29.428,-0.015637055039405823,0.04032333195209503,0.18857625126838684
29.73,-0.015637055039405823,0.04032333195209503,0.18857625126838684
30.031,-0.0058260634541511536,-0.10377390682697296,0.10190305858850479
30.333,0.023532457649707794,0.3367423713207245,0.01301402598619461
30.661,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
30.962,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
31.263,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
31.57,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
31.872,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
32.173,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
32.474,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
32.775,-0.05055156350135803,-0.16662375628948212,0.22814948856830597
33.076,-0.05101785808801651,0.0028441622853279114,0.20274683833122253
33.378,0.052710071206092834,0.2709682583808899,0.032880522310733795
33.685,-0.02843954600393772,-0.06360176205635071,0.14043085277080536
33.987,-0.02843954600393772,-0.06360176205635071,0.14043085277080536
34.288,-0.10537756979465485,-0.004301551729440689,0.28195735812187195
34.59,-0.0013844072818756104,0.18983659148216248,-0.07896902412176132
34.913,-0.010402362793684006,-0.005894286558032036,0.1934293657541275
35.187,-0.06037655472755432,-0.036583058536052704,0.20012947916984558
35.489,0.042737171053886414,0.10319951921701431,0.059025224298238754
35.797,-0.06605981290340424,0.024628091603517532,0.030605018138885498
36.099,-0.06605981290340424,0.024628091603517532,0.030605018138885498
36.4,-0.06605981290340424,0.024628091603517532,0.030605018138885498
36.701,-0.06605981290340424,0.024628091603517532,0.030605018138885498
37.002,-0.06605981290340424,0.024628091603517532,0.030605018138885498
37.303,-0.06605981290340424,0.024628091603517532,0.030605018138885498
37.604,-0.06605981290340424,0.024628091603517532,0.030605018138885498
37.911,-0.06605981290340424,0.024628091603517532,0.030605018138885498
38.213,-0.06605981290340424,0.024628091603517532,0.030605018138885498
38.514,-0.010445548221468925,0.05820304527878761,-0.1700202226638794
38.825,-0.028441615402698517,-0.03177203983068466,0.17727699875831604
39.135,-0.028441615402698517,-0.03177203983068466,0.17727699875831604
39.445,-0.028441615402698517,-0.03177203983068466,0.17727699875831604
39.755,-0.028441615402698517,-0.03177203983068466,0.17727699875831604
40.062,-0.028441615402698517,-0.03177203983068466,0.17727699875831604
40.364,-0.028441615402698517,-0.03177203983068466,0.17727699875831604
40.665,0.018893785774707794,0.06550545245409012,-0.09610673785209656
40.967,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
41.269,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
41.57,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
41.871,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
42.178,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
42.48,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
42.781,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
43.082,-0.09135547280311584,0.0025077611207962036,0.029112428426742554
43.415,0.13245545327663422,0.23266977071762085,0.11278848350048065
43.691,-0.11695261299610138,0.012490294873714447,0.05877609923481941
43.993,-0.088502898812294,0.009382322430610657,-0.02485954761505127
44.301,0.01913607120513916,-0.03459133207798004,0.0528748482465744
44.603,0.01913607120513916,-0.03459133207798004,0.0528748482465744
44.904,-0.19051750004291534,-0.12115980684757233,-0.14218753576278687
45.206,0.05369654670357704,0.13974398374557495,-0.01796063780784607
45.508,-0.00019314885139465332,0.05355948954820633,0.389421671628952
45.81,-0.01743454486131668,0.06037220358848572,-0.19029496610164642
46.112,-0.10450396686792374,-0.03421371430158615,0.17308486998081207
46.42,-0.10450396686792374,-0.03421371430158615,0.17308486998081207
46.721,-0.10450396686792374,-0.03421371430158615,0.17308486998081207
47.022,-0.10450396686792374,-0.03421371430158615,0.17308486998081207
47.323,-0.10450396686792374,-0.03421371430158615,0.17308486998081207
47.624,-0.10450396686792374,-0.03421371430158615,0.17308486998081207
47.925,-0.10450396686792374,-0.03421371430158615,0.17308486998081207
48.226,-0.01678963378071785,0.026597773656249046,0.20970958471298218
48.534,0.11571943014860153,0.16479918360710144,0.04630516469478607
48.844,0.11571943014860153,0.16479918360710144,0.04630516469478607
49.154,0.11571943014860153,0.16479918360710144,0.04630516469478607
49.464,0.11571943014860153,0.16479918360710144,0.04630516469478607
49.774,0.11571943014860153,0.16479918360710144,0.04630516469478607
50.075,0.11571943014860153,0.16479918360710144,0.04630516469478607
50.376,0.11571943014860153,0.16479918360710144,0.04630516469478607
50.706,0.021281234920024872,-0.11437077820301056,0.10942712426185608
51.008,0.021281234920024872,-0.11437077820301056,0.10942712426185608
51.309,0.021281234920024872,-0.11437077820301056,0.10942712426185608
51.61,0.021281234920024872,-0.11437077820301056,0.10942712426185608
51.911,0.021281234920024872,-0.11437077820301056,0.10942712426185608
52.212,0.021281234920024872,-0.11437077820301056,0.10942712426185608
52.513,0.021281234920024872,-0.11437077820301056,0.10942712426185608
52.82,0.021281234920024872,-0.11437077820301056,0.10942712426185608
53.122,0.021281234920024872,-0.11437077820301056,0.10942712426185608
53.423,0.015137482434511185,0.1968957483768463,0.302030473947525
53.725,-0.0838937759399414,-0.06923366338014603,0.03170353174209595
54.027,0.03302845358848572,0.09172354638576508,-0.1772630512714386
54.329,-0.03551946580410004,0.12713703513145447,0.3165716826915741
54.631,0.029618624597787857,0.16215938329696655,0.10318677127361298
54.958,0.0012806206941604614,-0.003298714756965637,0.010293163359165192
55.26,0.0012806206941604614,-0.003298714756965637,0.010293163359165192
55.561,0.021161232143640518,0.15447309613227844,-0.038433998823165894
55.863,-0.0631304532289505,0.04366224259138107,0.2619844675064087
56.165,0.011829476803541183,0.163955420255661,0.0018353667110204697
56.467,0.011829476803541183,0.163955420255661,0.0018353667110204697
56.768,0.011829476803541183,0.163955420255661,0.0018353667110204697
57.075,0.011829476803541183,0.163955420255661,0.0018353667110204697
57.377,0.011829476803541183,0.163955420255661,0.0018353667110204697
57.678,0.011829476803541183,0.163955420255661,0.0018353667110204697
57.979,0.011829476803541183,0.163955420255661,0.0018353667110204697
58.28,0.011829476803541183,0.163955420255661,0.0018353667110204697
58.581,-0.060242921113967896,0.06074114516377449,0.08361071348190308
58.892,-0.060242921113967896,0.06074114516377449,0.08361071348190308
59.315,-0.060242921113967896,0.06074114516377449,0.08361071348190308
59.626,-0.060242921113967896,0.06074114516377449,0.08361071348190308
59.927,-0.060242921113967896,0.06074114516377449,0.08361071348190308
60.228,-0.039081938564777374,0.018790263682603836,0.20611077547073364
60.53,0.05679486319422722,0.18315362930297852,-0.007666531950235367
60.856,-0.07075899839401245,-0.05435934290289879,0.355765163898468
61.132,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
61.44,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
61.742,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
62.043,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
62.344,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
62.645,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
62.946,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
63.247,-0.057556383311748505,-0.05814510956406593,0.2556297779083252
