relseconds,latitude,longitude,altitude,groundspeed
24.479,0,0,-0.8968505859375,0
24.755,0,0,-0.79974365234375,0
25.063,0,0,-0.77801513671875,0
25.365,0,0,-0.77801513671875,0
25.666,0,0,-0.700439453125,0
25.968,0,0,-0.700439453125,0
26.269,0,0,-0.700439453125,0
26.57,0,0,-0.700439453125,0
26.871,0,0,-0.700439453125,0
27.178,0,0,-0.700439453125,0
27.48,0,0,-0.700439453125,0
27.781,0,0,-0.700439453125,0
28.082,0,0,-0.76715087890625,0
28.384,0,0,-0.6378173828125,0
28.695,0,0,-0.66375732421875,0
29.005,0,0,-0.66375732421875,0
29.428,0,0,-0.66375732421875,0
29.73,0,0,-0.66375732421875,0
30.031,0,0,-0.73248291015625,0
30.333,0,0,-0.80828857421875,0
30.661,0,0,-0.80316162109375,0
30.962,0,0,-0.80316162109375,0
31.263,0,0,-0.80316162109375,0
31.57,0,0,-0.80316162109375,0
31.872,0,0,-0.80316162109375,0
32.173,0,0,-0.80316162109375,0
32.474,0,0,-0.80316162109375,0
32.775,0,0,-0.80316162109375,0
33.076,0,0,-0.84423828125,0
33.378,0,0,-0.7900390625,0
33.685,0,0,-0.87982177734375,0
33.987,0,0,-0.87982177734375,0
34.288,0,0,-0.8720703125,0
34.59,0,0,-0.96075439453125,0
34.913,0,0,-0.79046630859375,0
35.187,0,0,-0.92059326171875,0
35.489,0,0,-1.001708984375,0
35.797,0,0,-1.046875,0
36.099,0,0,-1.046875,0
36.4,0,0,-1.046875,0
36.701,0,0,-1.046875,0
37.002,0,0,-1.046875,0
37.303,0,0,-1.046875,0
37.604,0,0,-1.046875,0
37.911,0,0,-1.046875,0
38.213,0,0,-1.046875,0
38.514,0,0,-0.85284423828125,0
38.825,0,0,-0.89434814453125,0
39.135,0,0,-0.89434814453125,0
39.445,0,0,-0.89434814453125,0
39.755,0,0,-0.89434814453125,0
40.062,0,0,-0.89434814453125,0
40.364,0,0,-0.89434814453125,0
40.665,0,0,-0.83447265625,0
40.967,0,0,-0.869873046875,0
41.269,0,0,-0.869873046875,0
41.57,0,0,-0.869873046875,0
41.871,0,0,-0.869873046875,0
42.178,0,0,-0.869873046875,0
42.48,0,0,-0.869873046875,0
42.781,0,0,-0.869873046875,0
43.082,0,0,-0.869873046875,0
43.415,0,0,-0.53033447265625,0
43.691,0,0,-0.64434814453125,0
43.993,0,0,-0.622314453125,0
44.301,0,0,-0.65057373046875,0
44.603,0,0,-0.65057373046875,0
44.904,0,0,-0.69940185546875,0
45.206,0,0,-0.7392578125,0
45.508,0,0,-0.6678466796875,0
45.81,0,0,-0.73004150390625,0
46.112,0,0,-0.69818115234375,0
46.42,0,0,-0.69818115234375,0
46.721,0,0,-0.69818115234375,0
47.022,0,0,-0.69818115234375,0
47.323,0,0,-0.69818115234375,0
47.624,0,0,-0.69818115234375,0
47.925,0,0,-0.69818115234375,0
48.226,0,0,-0.7740478515625,0
48.534,0,0,-0.72161865234375,0
48.844,0,0,-0.72161865234375,0
49.154,0,0,-0.72161865234375,0
49.464,0,0,-0.72161865234375,0
49.774,0,0,-0.72161865234375,0
50.075,0,0,-0.72161865234375,0
50.376,0,0,-0.72161865234375,0
50.706,0,0,-0.8221435546875,0
51.008,0,0,-0.8221435546875,0
51.309,0,0,-0.8221435546875,0
51.61,0,0,-0.8221435546875,0
51.911,0,0,-0.8221435546875,0
52.212,0,0,-0.8221435546875,0
52.513,0,0,-0.8221435546875,0
52.82,0,0,-0.8221435546875,0
53.122,0,0,-0.8221435546875,0
53.423,0,0,-0.8177490234375,0
