relseconds,roll,pitch,yaw
24.479,-1.5475531816482544,4.264830589294434,14.731422424316406
24.755,-1.561627984046936,4.3354878425598145,14.800785064697266
25.063,-1.3654590845108032,4.3820271492004395,14.83564567565918
25.365,-1.3654590845108032,4.3820271492004395,14.83564567565918
25.666,-1.414370059967041,4.393118381500244,14.993423461914062
25.968,-1.414370059967041,4.393118381500244,14.993423461914062
26.269,-1.414370059967041,4.393118381500244,14.993423461914062
26.57,-1.414370059967041,4.393118381500244,14.993423461914062
26.871,-1.414370059967041,4.393118381500244,14.993423461914062
27.178,-1.414370059967041,4.393118381500244,14.993423461914062
27.48,-1.414370059967041,4.393118381500244,14.993423461914062
27.781,-1.414370059967041,4.393118381500244,14.993423461914062
28.082,-1.4607752561569214,4.349124908447266,15.353373527526855
28.384,-1.3999320268630981,4.3355393409729,15.384961128234863
28.695,-1.47818124294281,4.3152079582214355,15.464056968688965
29.005,-1.47818124294281,4.3152079582214355,15.464056968688965
29.428,-1.47818124294281,4.3152079582214355,15.464056968688965
29.73,-1.47818124294281,4.3152079582214355,15.464056968688965
30.031,-1.5974496603012085,4.263666152954102,15.662967681884766
30.333,-1.2553656101226807,4.391735553741455,15.670003890991211
30.661,-1.6672272682189941,4.270021915435791,15.746366500854492
30.962,-1.6672272682189941,4.270021915435791,15.746366500854492
31.263,-1.6672272682189941,4.270021915435791,15.746366500854492
31.57,-1.6672272682189941,4.270021915435791,15.746366500854492
31.872,-1.6672272682189941,4.270021915435791,15.746366500854492
32.173,-1.6672272682189941,4.270021915435791,15.746366500854492
32.474,-1.6672272682189941,4.270021915435791,15.746366500854492
32.775,-1.6672272682189941,4.270021915435791,15.746366500854492
33.076,-1.6304652690887451,4.269413471221924,16.137916564941406
33.378,-1.280275583267212,4.360537528991699,16.217926025390625
33.685,-1.5839107036590576,4.301936149597168,16.25162696838379
33.987,-1.5839107036590576,4.301936149597168,16.25162696838379
34.288,-1.537735939025879,4.219727516174316,16.332738876342773
34.59,-1.355570912361145,4.4041948318481445,16.37527084350586
34.913,-1.5662362575531006,4.359038829803467,16.41341781616211
35.187,-1.5373164415359497,4.27193021774292,16.479772567749023
35.489,-1.4213504791259766,4.458266258239746,16.503549575805664
35.797,-1.52704918384552,4.30769157409668,16.54631805419922
36.099,-1.52704918384552,4.30769157409668,16.54631805419922
36.4,-1.52704918384552,4.30769157409668,16.54631805419922
36.701,-1.52704918384552,4.30769157409668,16.54631805419922
37.002,-1.52704918384552,4.30769157409668,16.54631805419922
37.303,-1.52704918384552,4.30769157409668,16.54631805419922
37.604,-1.52704918384552,4.30769157409668,16.54631805419922
37.911,-1.52704918384552,4.30769157409668,16.54631805419922
38.213,-1.52704918384552,4.30769157409668,16.54631805419922
38.514,-1.3995729684829712,4.390447616577148,16.87028694152832
38.825,-1.5260907411575317,4.382143497467041,16.943485260009766
39.135,-1.5260907411575317,4.382143497467041,16.943485260009766
39.445,-1.5260907411575317,4.382143497467041,16.943485260009766
39.755,-1.5260907411575317,4.382143497467041,16.943485260009766
40.063,-1.5260907411575317,4.382143497467041,16.943485260009766
