relseconds,data
163.546,-90
163.853,-82
164.154,-82
164.455,-82
164.756,-82
165.057,-82
165.359,-82
165.661,-82
165.969,-79
166.271,-79
166.572,-79
166.874,-79
167.176,-79
167.478,-79
167.795,-79
168.104,-84
168.405,-84
168.706,-84
169.007,-84
169.308,-84
169.609,-84
169.91,-84
170.333,-87
170.754,-87
171.064,-87
171.365,-87
171.666,-87
171.968,-87
172.276,-80
172.599,-80
172.875,-80
173.176,-80
173.477,-80
173.778,-80
174.079,-80
174.386,-78
174.688,-78
174.989,-78
175.29,-78
175.592,-78
175.894,-78
176.196,-78
176.504,-80
176.806,-80
177.127,-80
177.403,-80
177.704,-80
178.006,-80
178.308,-80
178.616,-86
178.917,-86
179.218,-86
179.519,-86
179.82,-86
180.121,-86
180.431,-86
180.854,-83
181.165,-83
181.466,-83
181.767,-83
182.069,-83
182.371,-83
182.673,-83
182.982,-80
183.283,-80
183.584,-80
183.885,-80
184.186,-80
184.487,-80
184.788,-80
185.095,-83
185.396,-83
185.697,-83
185.999,-83
186.301,-83
186.603,-83
186.905,-83
187.213,-79
187.514,-79
187.837,-79
188.113,-79
188.414,-79
188.715,-79
189.016,-79
189.323,-82
189.625,-82
189.926,-82
190.227,-82
190.537,-82
190.847,-82
191.157,-82
191.58,-83
191.882,-83
192.183,-83
192.485,-83
192.787,-83
193.089,-83
193.391,-83
193.699,-83
194.001,-83
194.302,-83
194.603,-83
194.904,-83
195.205,-83
195.514,-83
195.796,-79
196.098,-79
196.399,-79
196.701,-79
197.003,-79
197.305,-79
197.607,-79
197.916,-82
198.217,-82
198.518,-82
198.82,-82
199.121,-82
199.422,-82
199.723,-82
200.03,-82
200.332,-82
200.642,-82
200.952,-82
201.262,-82
201.572,-82
201.873,-82
202.181,-78
202.482,-78
202.799,-78
203.075,-78
203.376,-78
203.678,-78
203.979,-78
204.286,-93
204.588,-93
204.889,-93
205.19,-93
205.491,-93
205.792,-93
206.094,-93
206.403,-86
206.704,-86
207.005,-86
207.327,-86
207.603,-86
207.904,-86
208.206,-86
208.515,-80
208.816,-80
209.117,-80
209.418,-80
209.719,-80
210.02,-80
210.321,-80
210.628,-83
210.939,-83
211.249,-83
211.559,-83
211.869,-83
212.17,-83
212.471,-83
212.779,-78
213.081,-78
213.382,-78
213.684,-78
213.986,-78
214.287,-78
214.588,-78
214.895,-75
215.196,-75
215.497,-75
215.831,-75
216.107,-75
216.409,-75
216.711,-75
217.019,-80
217.321,-80
217.622,-80
217.924,-80
218.226,-80
218.528,-80
218.83,-80
219.138,-87
219.44,-87
219.741,-87
220.042,-87
220.343,-87
220.644,-87
220.954,-87
221.377,-85
221.688,-85
221.989,-85
222.29,-85
222.566,-85
222.867,-85
223.169,-85
223.478,-81
223.779,-81
224.08,-81
224.381,-81
224.682,-81
224.983,-81
225.284,-81
225.591,-81
225.893,-81
226.194,-81
226.496,-81
226.819,-81
227.095,-81
227.396,-81
227.705,-77
228.006,-77
228.307,-77
228.609,-77
228.911,-77
229.213,-77
229.514,-77
229.821,-78
230.123,-78
230.424,-78
230.725,-78
231.035,-78
231.345,-78
231.655,-78
232.078,-79
232.38,-79
232.681,-79
233.001,-79
233.277,-79
233.578,-79
233.88,-79
234.188,-82
234.489,-82
234.79,-82
235.091,-82
235.392,-82
235.693,-82
235.994,-82
236.301,-82
236.603,-82
236.904,-82
237.206,-82
237.529,-82
237.805,-82
238.106,-82
238.415,-84
238.716,-84
239.017,-84
239.319,-84
239.62,-84
239.921,-84
240.222,-84
240.529,-83
240.831,-83
241.141,-83
241.451,-83
241.761,-83
242.071,-83
242.372,-83
242.679,-79
242.981,-79
243.282,-79
243.584,-79
243.886,-79
244.188,-79
244.49,-79
244.798,-83
245.099,-83
245.4,-83
245.701,-83
246.002,-83
246.308,-83
246.584,-83
246.891,-85
247.193,-85
247.494,-85
247.796,-85
248.098,-85
248.4,-85
248.702,-85
249.01,-79
249.312,-79
249.613,-79
249.914,-79
250.215,-79
250.516,-79
250.817,-79
251.124,-82
251.434,-82
251.744,-82
252.054,-82
252.364,-82
252.665,-82
252.966,-82
253.274,-89
253.592,-89
253.867,-89
254.169,-89
254.471,-89
254.772,-89
255.073,-89
255.381,-83
255.682,-83
255.983,-83
256.284,-83
256.585,-83
256.887,-83
257.189,-83
257.498,-86
257.799,-86
258.12,-86
258.396,-86
258.697,-86
258.999,-86
259.301,-86
259.609,-80
259.911,-80
260.212,-80
260.513,-80
260.814,-80
261.115,-80
261.416,-80
261.84,-79
262.15,-79
262.46,-79
262.761,-79
263.062,-79
263.364,-79
263.666,-79
263.975,-83
264.301,-83
264.602,-83
264.903,-83
265.204,-83
265.505,-83
265.806,-83
266.113,-81
266.415,-81
266.716,-81
267.018,-81
267.32,-81
267.622,-81
267.924,-81
268.232,-80
268.552,-80
268.828,-80
269.129,-80
269.431,-80
269.733,-80
270.034,-80
270.341,-80
270.642,-80
270.943,-80
271.244,-80
271.545,-80
271.855,-80
272.165,-80
272.588,-84
272.89,-84
273.191,-84
273.493,-84
273.795,-84
274.097,-84
274.399,-84
274.707,-82
275.008,-82
275.309,-82
275.61,-82
275.911,-82
276.212,-82
276.513,-82
276.82,-85
277.122,-85
277.423,-85
277.725,-85
278.027,-85
